title,address,region,renting,area,toward,room,traffic,launchtime,floor,elevator,introduction,imagelink
整租·淡水路442弄 2室1厅 南,黄浦-新天地-淡水路442弄,黄浦,7800,46,南,2-1-1,新天地-566;马当路-655;打浦桥-981;黄陂南路-1141;,2019-07-28,中-6,0,,https://image1.ljcdn.com/lease-image/house/21154593-6dfd-4c4d-b902-d1920fe8e390.jpg.780x439.jpg
整租·陈家宅小区(浦东大道) 1室0厅 南,浦东-金桥-陈家宅小区(浦东大道),浦东,3500,38,南,1-0-1,,2019-07-14,低-6,0,,https://image1.ljcdn.com/lease-image/house/de4892c4-b77f-4921-a9b2-b997e3b90ac0.png.780x439.jpg
整租·老西门新苑 1室2厅 南,黄浦-老西门-老西门新苑,黄浦,12800,84,南,1-2-1,老西门-212;陆家浜路-555;新天地-830;马当路-1078;,2019-07-17,高-35,1,,https://image1.ljcdn.com/lease-image/house/82cb3046-f501-40a0-a9b0-b138b9f53062.jpg.780x439.jpg
整租·丰裕里 2室1厅 南,黄浦-新天地-丰裕里,黄浦,9800,60,南,2-1-1,新天地-264;黄陂南路-496;老西门-1059;淮海中路-1077;马当路-1101;,2019-07-26,中-3,0,,https://image1.ljcdn.com/lease-image/house/0d0583f6-8e02-44ae-8599-21c1c4dff985.jpg.780x439.jpg
整租·汇成五村 2室1厅 南/北,徐汇-上海南站-汇成五村,徐汇,4650,59,南-北,2-1-1,,2019-07-25,高-6,0,"【户型介绍】 此房为两房一厅，主次卧双阳台，南北通风，住着很舒适，汇成不常见的带厅两房。随时欢迎看房。
【装修描述】 汇成五村精装两房，家具家电全齐，拎包入住，以前是业主自住的。
【交通出行】 距离上海南站近，多路公交通往上海各地，方便快捷，15号线在建，年底通车。",https://image1.ljcdn.com/lease-image/house/361af150-1beb-4896-afff-82344ec4216b.jpg.780x439.jpg
整租·百龙小区 2室1厅 南,徐汇-植物园-百龙小区,徐汇,5500,85,南,2-1-1,,2019-08-18,高-15,1,"【装修描述】 房子是居家装修，每个房间都有窗户，房屋家具家电都配置齐全，随时可以看房
【交通出行】 小区门口多路公交：720.56.178.770.824.831.956.958等
【周边配套】 有菜市场、银行、超市、24小时便利店、植物园、公交直达徐家汇",https://image1.ljcdn.com/lease-image/house/73f124e4-ebf9-4c9a-ae52-e406c06d9ef1.jpg.780x439.jpg
整租·马当小区 2室1厅 南,黄浦-新天地-马当小区,黄浦,9500,62,南,2-1-1,新天地-334;马当路-510;老西门-1001;黄陂南路-1098;,2019-07-18,中-27,1,,https://image1.ljcdn.com/lease-image/house/12ea8655-380b-488b-a983-801c1488d822.jpg.780x439.jpg
整租·田林十一村 2室0厅 南,徐汇-田林-田林十一村,徐汇,6200,50,南,2-0-1,桂林路-803;桂林公园-952;漕宝路-1007;,2019-08-15,中-6,0,,https://image1.ljcdn.com/lease-image/house/1ab05d87-50bf-49a0-a7cb-e65e41f37832.jpg.780x439.jpg
整租·康健路77弄 2室1厅 南,徐汇-康健-康健路77弄,徐汇,5400,51,南,2-1-1,漕宝路-594;桂林公园-971;,2019-08-11,高-6,0,,https://image1.ljcdn.com/lease-image/house/0f07143c-2d4b-4f24-9fbf-462656edff11.jpg.780x439.jpg
整租·百龙小区 2室1厅 南,徐汇-植物园-百龙小区,徐汇,5580,85,南,2-1-1,,2019-08-06,低-15,1,"【装修描述】 
房子是居家装修，每个房间都有窗户，房屋家具家电都配置齐全，随时可以看房
【交通出行】 
小区门口多路公交：720.56.178.770.824.831.956.958等
【周边配套】 有菜市场、银行、超市、24小时便利店、植物园、公交直达徐家汇",https://image1.ljcdn.com/lease-image/house/a978c499-82ce-490f-a456-e7b9acae672a.jpg.780x439.jpg
整租·吴中公寓 1室1厅 南,徐汇-田林-吴中公寓,徐汇,6500,62,南,1-1-1,宜山路-728;虹桥路-1180;,2019-07-29,中-22,1,,https://image1.ljcdn.com/lease-image/house/1fab7787-e4f3-46fb-b78e-0fd6245192a9.jpg.780x439.jpg
整租·日晖一村 1室1厅 南,徐汇-斜土路-日晖一村,徐汇,5200,41,南,1-1-1,锦江乐园-1029;上海南站-1048;,2019-08-04,中-5,0,,https://image1.ljcdn.com/lease-image/house/96493f1a-00f5-4b4c-a3b5-afabe6bbb56a.jpg.780x439.jpg
整租·钦州路111弄 1室1厅 南,徐汇-康健-钦州路111弄,徐汇,5600,62,南,1-1-1,漕宝路-693;上海南站-891;,2019-08-19,高-30,1,,https://image1.ljcdn.com/lease-image/house/5404095d-b39e-4771-8386-840f810c8d65.jpg.780x439.jpg
整租·长海坊 2室1厅 南/北,徐汇-康健-长海坊,徐汇,5800,61,南-北,2-1-1,,2019-08-19,低-6,0,,https://image1.ljcdn.com/lease-image/house/507706b5a3321dc4a2bae1ae966c1f14.jpeg.780x439.jpg
整租·长虹坊 2室1厅 南,徐汇-康健-长虹坊,徐汇,6300,74,南,2-1-1,,2019-08-17,高-4,0,,https://image1.ljcdn.com/lease-image/house/b6358461-34fd-4320-9667-c24d8bbad64b.jpg.780x439.jpg
整租·光华园 2室1厅 南,徐汇-上海南站-光华园,徐汇,5600,62,南,2-1-1,,1970-01-02,低-6,0,,https://image1.ljcdn.com/lease-image/house/342ff9b0-c1a3-45a9-ba9a-9ab4609a880f.jpg.780x439.jpg
整租·陈家宅小区(浦东大道) 2室1厅 南,浦东-金桥-陈家宅小区(浦东大道),浦东,4800,56,南,2-1-1,,2019-08-25,低-6,0,"【房源亮点】 小区门口就是公交站台有班车直达世纪大道陆家嘴，完全不用担心挤不上地铁，300米处有金定线轮渡直达杨浦。房子五月份装修好，家具家电都是全新的，已经空置三个月基本没味道，下水管道和吊顶都是重新铺的不存在潮湿和漏水
【户型介绍】 南北户型，一楼带天井，天井是封起来的，天井里面有洗衣机和洗手台洗完衣物可以直接晾晒很便利
【周边配套】 步行800米可达金桥国际广场，金桥国际对，面的久金广场里面有电影院，吃饭逛街也很便利",https://image1.ljcdn.com/lease-image/house/aff12fd6-4dbd-4f5a-b52f-ca2ceb8f1a87.jpg.780x439.jpg
整租·上南六村 1室1厅 南,浦东-世博-上南六村,浦东,4700,34,南,1-1-1,云台路-382;耀华路-570;成山路-834;,2019-08-25,中-6,0,,https://image1.ljcdn.com/lease-image/house/1762809f-75a1-4634-bbc5-e90e9436eb37.jpg.780x439.jpg
整租·南杨小区(长清路) 1室1厅 西南,浦东-三林-南杨小区(长清路),浦东,4800,39,西南,1-1-1,杨思-181;灵岩南路-864;东方体育中心-1168;,2019-08-27,高-6,0,"【房源亮点】 此房婚房装修两年，家具家电皆为品牌，距离8号线杨思站约500米，灵岩南路小吃一条街，近大润发，生活购物娱乐配套设施齐全
【装修描述】 此房业主婚房装修两年，家具皆为实木家具，品牌家电，满足您的生活品质所需。
【交通出行】 小区距8号线杨思站约500米，一站换乘东方体育中新站，6/8/11三轨交互，小区出门相拥多不公交，可直达陆家嘴，新天地，静安寺等市内繁华地段。",https://image1.ljcdn.com/lease-image/house/1a625a2b-6258-4269-9277-85cb984e20f9.jpg.780x439.jpg
整租·银都新村(1至7区) 1室1厅 南/北,闵行-颛桥-银都新村(1至7区),闵行,3550,40,南-北,1-1-1,银都路-850;,2019-08-27,低-6,0,,https://image1.ljcdn.com/lease-image/house/3e4786a0-1239-4283-b45d-15001f5ec93b.jpg.780x439.jpg
整租·永泰花苑 2室1厅 南,浦东-三林-永泰花苑,浦东,5500,72,南,2-1-1,三林-835;,2019-08-23,高-11,1,,https://image1.ljcdn.com/lease-image/house/e1edc1d5f2bfe552daf3b669bfb9fd23.jpeg.780x439.jpg
整租·天山华庭 2室2厅 南,长宁-天山-天山华庭,长宁,12800,91,南,2-2-1,威宁路-158;北新泾-1145;,2019-08-25,低-20,1,"【房源亮点】 
小区环境好！楼电梯房，小区有充足的车位，朝南大阳台，业主之前自住
【户型介绍】 
精装修，两室两厅一厨一卫，主卧朝南，次卧朝北，南北边还有窗户，采光很好，厨房，卫生间全明，电梯房
【小区介绍】 高品质小区，交通便利，出行方便，流动车位，电梯两房，出门就是缤谷广场",https://image1.ljcdn.com/lease-image/house/86419986-67ce-405d-9329-42ae087c4ee4.jpg.780x439.jpg
整租·南天大楼 2室1厅 南,徐汇-徐家汇-南天大楼,徐汇,8000,65,南,2-1-1,徐家汇-577;上海体育场-617;上海体育馆-1194;,2019-08-21,高-20,1,,https://image1.ljcdn.com/lease-image/house/a840e841-35dc-4f52-9cd0-561352ff1dd2.jpg.780x439.jpg
整租·凌兆新村 2室1厅 南,浦东-三林-凌兆新村,浦东,5300,64,南,2-1-1,灵岩南路-938;上南路-1037;,2019-08-23,低-6,0,,https://image1.ljcdn.com/lease-image/house/0252d3c5-8559-4a0e-b741-8dd3eb1d8e83.jpg.780x439.jpg
整租·剑河家苑 2室1厅 南,长宁-北新泾-剑河家苑,长宁,8300,77,南,2-1-1,北新泾-615;淞虹路-1101;,2019-08-26,低-15,0,,https://image1.ljcdn.com/lease-image/house/06df15d8-6aba-4a1d-bd48-4375dfc186ad.jpg.780x439.jpg
整租·西三里桥路8弄 1室1厅 南,浦东-南码头-西三里桥路8弄,浦东,4500,47,南,1-1-1,,2019-08-21,高-6,0,,https://image1.ljcdn.com/lease-image/house/30675183-9e2a-4ab5-a278-a35b1058100e.jpg.780x439.jpg
整租·明园小安桥 2室2厅 南,徐汇-田林-明园小安桥,徐汇,10000,87,南,2-2-1,宜山路-468;,2019-07-28,中-17,1,,https://image1.ljcdn.com/lease-image/house/31fcbbe7-bc07-4bb7-a501-8113141b1698.jpg.780x439.jpg
整租·上南二村 1室1厅 南,浦东-世博-上南二村,浦东,4400,35,南,1-1-1,耀华路-205;成山路-454;云台路-628;长清路-721;中华艺术宫-977;,2019-08-17,高-6,0,,https://image1.ljcdn.com/lease-image/house/4aacb851-8670-448d-9224-0707b46e1710.jpg.780x439.jpg
整租·金桂苑(徐汇) 2室2厅 南,徐汇-康健-金桂苑(徐汇),徐汇,7400,88,南,2-2-1,虹漕路-315;桂林公园-979;,2019-08-05,中-24,1,,https://image1.ljcdn.com/lease-image/house/47a34414-ce98-4c67-8672-b131182ba857.jpg.780x439.jpg
整租·阳二小区 2室1厅 南,浦东-洋泾-阳二小区,浦东,4800,50,南,2-1-1,北洋泾路-1184;,2019-08-19,中-5,0,,https://image1.ljcdn.com/lease-image/house/978ac662-0a8d-4b18-9f0e-3b4a78c0c497.jpg.780x439.jpg
整租·金杨六街坊 1室1厅 南,浦东-金杨-金杨六街坊,浦东,5300,52,南,1-1-1,蓝天路-400;云山路-860;德平路-1197;,2019-07-29,中-6,0,"【户型介绍】 房子是居家装次的，南北两房，楼层好，采光足，通风好，而且房间比较明亮。
【交通出行】 本房靠云山路灵山路，可以步行至地铁9号线蓝天路站，距离蓝天路地铁站大概433米（数据来源：高德地图），出门是公交车站
【周边配套】 小区有上疏永辉，家乐福超市，购物方便！上海，建设银行，为您生活提供便利！金杨，金桥公园，为您提供休闲场所！公利医院，为您提供医疗保障！",https://image1.ljcdn.com/lease-image/house/a667dbf1-4895-4827-a278-01a5598cf0ba.jpg.780x439.jpg
整租·天山怡景苑 2室2厅 南,长宁-天山-天山怡景苑,长宁,12000,88,南,2-2-1,威宁路-375;北新泾-956;,2019-08-17,低-15,1,,https://image1.ljcdn.com/lease-image/house/8f05aff8-e88c-4eba-bc94-4f152b1a3a5c.jpg.780x439.jpg
整租·齐八小区 1室1厅 南,浦东-世博-齐八小区,浦东,4300,47,南,1-1-1,东明路-693;高科西路-1093;,2019-08-14,高-6,0,,https://image1.ljcdn.com/lease-image/house/1765a108-34ab-4c99-81fe-fe2075c486bf.jpg.780x439.jpg
整租·凌三小区 1室1厅 南,浦东-洋泾-凌三小区,浦东,4000,42,南,1-1-1,,2019-08-12,高-6,0,"【户型介绍】 正规朝南一室，阳光充足，没有暖气的冬天你也不用帕。视野开阔，自带阳台晾衣服不用愁。
【交通出行】 小区西门有公交站，南面临靠浦东大道，14号线简直不要太方便，北面有轮渡口，跨江到外滩也方便。
【出租原因】 业主闲置房源，避免资源浪费，一直在出租，近期没有出售打算，可以安心居住。
【小区介绍】 小区位于昌邑路边，离黄埔江岸十分近，有渡口，乘轮渡去外滩也十分方便。",https://image1.ljcdn.com/lease-image/house/40c51baa-31fd-43e3-ba8b-dabc4b747048.jpg.780x439.jpg
整租·胶南小区 1室0厅 南,浦东-南码头-胶南小区,浦东,4100,34,南,1-0-1,临沂新村-1043;,2019-08-14,高-6,0,,https://image1.ljcdn.com/lease-image/house/2901292d-906e-4d5c-98bc-d4808f3ad234.jpg.780x439.jpg
整租·金杨新村三街坊 1室1厅 南,浦东-金杨-金杨新村三街坊,浦东,4500,43,南,1-1-1,云山路-311;金桥路-725;,2019-08-19,高-7,0,,https://image1.ljcdn.com/lease-image/house/10152f32-d0a5-4340-98f3-9404b54ff752.jpg.780x439.jpg
整租·新湖云庭 3室1厅 南,徐汇-斜土路-新湖云庭,徐汇,11900,121,南,3-1-1,大木桥路-260;东安路-661;龙华中路-1009;,2019-08-07,高-23,1,,https://image1.ljcdn.com/lease-image/house/521799e2-7788-42c1-839f-8367b2e6fe37.jpg.780x439.jpg
整租·香山新村东南街坊 2室1厅 南/北,浦东-金杨-香山新村东南街坊,浦东,5200,52,南-北,2-1-1,蓝天路-847;德平路-852;,2019-08-14,中-6,0,,https://image1.ljcdn.com/lease-image/house/7976f7d6c09fe0385e3764534fb4b010.jpeg.780x439.jpg
整租·临沂八村 1室1厅 南,浦东-南码头-临沂八村,浦东,4600,40,南,1-1-1,临沂新村-206;上海儿童医学中心-999;,2019-08-18,中-6,0,,https://image1.ljcdn.com/lease-image/house/b0a3fdf2-2428-4fd2-b90d-0f3c9dd1feb9.jpg.780x439.jpg
整租·士林华苑 3室2厅 南,黄浦-豫园-士林华苑,黄浦,16800,143,南,3-2-2,豫园-756;老西门-761;小南门-1029;,2019-08-11,中-25,1,,https://image1.ljcdn.com/lease-image/house/7c74978a-7eb1-4136-bac3-45d0eb83f0b5.jpg.780x439.jpg
整租·海炼大楼 1室1厅 南,浦东-洋泾-海炼大楼,浦东,4500,46,南,1-1-1,北洋泾路-565;,2019-08-21,中-18,1,,https://image1.ljcdn.com/lease-image/house/c90d06a5-468d-47c3-8c27-8ab053f9ee20.jpg.780x439.jpg
整租·金杨七街坊 1室1厅 南,浦东-金杨-金杨七街坊,浦东,4550,49,南,1-1-1,云山路-850;蓝天路-870;金桥路-1169;,2019-08-10,中-6,0,,https://image1.ljcdn.com/lease-image/house/31f317af-d757-4a7c-a33b-319d0d7bb108.jpg.780x439.jpg
整租·海院小区 1室1厅 南,浦东-源深-海院小区,浦东,4600,42,南,1-1-1,源深体育中心-1009;民生路-1050;,2019-08-19,低-6,0,,https://image1.ljcdn.com/lease-image/house/33571cc9-855b-4658-8543-b4d43e589434.jpg.780x439.jpg
整租·花苑村玉兰园 2室2厅 南/北,徐汇-康健-花苑村玉兰园,徐汇,7400,77,南-北,2-2-1,锦江乐园-118;,2019-07-29,高-6,0,,https://image1.ljcdn.com/lease-image/house/60c69c61-e235-437e-9e7b-4bcccb016cb0.jpg.780x439.jpg
整租·临沂三村 1室1厅 南,浦东-南码头-临沂三村,浦东,4300,39,南,1-1-1,高科西路-762;临沂新村-1014;,2019-08-01,高-6,0,,https://image1.ljcdn.com/lease-image/house/697d1c78-a941-4682-87db-d4b803b4d9d1.jpg.780x439.jpg
整租·上南十二村 1室0厅 南,浦东-世博-上南十二村,浦东,4500,37,南,1-0-1,成山路-884;东明路-928;,2019-08-18,高-6,0,,https://image1.ljcdn.com/lease-image/house/7b770eafb041bc5e989229f0fdde6644.jpeg.780x439.jpg
整租·梅陇三村 1室1厅 南,徐汇-华东理工-梅陇三村,徐汇,3600,40,南,1-1-1,锦江乐园-1017;,2019-08-22,高-6,0,,https://image1.ljcdn.com/rent-front-image/1efeae8459c48eeb3fef0bc54884fd1d.png.780x439.jpg
整租·中山南一路1040-1044号 1室0厅 南,黄浦-世博滨江-中山南一路1040-1044号,黄浦,5000,30,南,1-0-1,鲁班路-781;大木桥路-790;,2019-08-27,高-6,0,,https://image1.ljcdn.com/rent-front-image/1efeae8459c48eeb3fef0bc54884fd1d.png.780x439.jpg
整租·新凯城尚樱苑 2室1厅 南/北,松江-泗泾-新凯城尚樱苑,松江,3200,74,南-北,2-1-1,,2019-08-24,高-18,1,,https://image1.ljcdn.com/lease-image/house/519bd78446cb0014ab88087dad02daab.jpeg.780x439.jpg
整租·银河新都 1室1厅 南,闵行-春申-银河新都,闵行,3800,51,南,1-1-1,,2019-08-24,中-10,1,,https://image1.ljcdn.com/lease-image/house/abd804b7-1522-4264-b09e-a10327c0073f.jpg.780x439.jpg
整租·新凯城银杏苑 3室2厅 南,松江-泗泾-新凯城银杏苑,松江,3500,89,南,3-2-1,,2019-08-25,高-18,1,,https://image1.ljcdn.com/lease-image/house/6e714e92-0eea-4402-99bf-51c8f7ed67ff.jpg.780x439.jpg
整租·逸翠公馆 3室1厅 南,浦东-世博-逸翠公馆,浦东,9500,111,南,3-1-1,高科西路-996;,2019-08-25,中-24,1,"【户型介绍】 精装修两房，配套设施齐全，小区环境好，电梯房，居住体验好，小区居民素质高 两房朝南，采光好通风好
【装修描述】 房子精装修，三房两厅一卫，大三房楼层位9楼，采光很好，通风好，，
【出租原因】 房子是房东托管给我们链家的房源，看房方便诚意出租，价格可谈，有钥匙随时看房，",https://image1.ljcdn.com/lease-image/house/a0ca3c1f-a4c1-48cc-8b5d-76a53156693f.jpg.780x439.jpg
整租·梅陇九村 1室1厅 南,徐汇-华东理工-梅陇九村,徐汇,3500,45,南,1-1-1,,2019-08-18,高-6,0,,https://image1.ljcdn.com/rent-front-image/1efeae8459c48eeb3fef0bc54884fd1d.png.780x439.jpg
整租·蒲汇新村 2室1厅 南,闵行-七宝-蒲汇新村,闵行,4600,48,南,2-1-1,七宝-577;航中路-1177;,2019-08-21,高-6,0,,https://image1.ljcdn.com/lease-image/house/877120d9-75a0-48d2-9274-03ff21373620.jpg.780x439.jpg
整租·通联苑 2室1厅 南,浦东-金杨-通联苑,浦东,8000,96,南,2-1-1,德平路-546;云山路-640;,2019-08-26,低-11,1,,https://image1.ljcdn.com/lease-image/house/57fac87f-5d28-457a-90df-d89642981ffe.jpg.780x439.jpg
整租·贝尚湾(公寓) 1室1厅 南,松江-九亭-贝尚湾(公寓),松江,4600,52,南,1-1-1,九亭-794;,2019-08-22,低-13,1,,https://image1.ljcdn.com/lease-image/house/99c803f3-8740-42ee-93ff-42c2796bc10e.jpg.780x439.jpg
整租·青春驿站 1室1厅 南,松江-九亭-青春驿站,松江,4300,43,南,1-1-1,九亭-729;,2019-08-23,中-12,1,,https://image1.ljcdn.com/lease-image/house/0527fa9e-038d-4887-867b-17ae2aee2391.jpg.780x439.jpg
整租·象屿上海年华 2室2厅 南,松江-莘闵别墅-象屿上海年华,松江,4800,82,南,2-2-1,,2019-08-21,中-8,1,"【房源亮点】 家具家电都是全新的，带给您一天的舒适生活，西门子的冰箱洗衣机，日式日立中 央空调，德国博世地暖，toto新风系统，双层隔音玻璃窗户，方太灶台和吸油烟机带给您不一样的舒适
【户型介绍】 象屿上海年华是总高共8层花园洋房，1梯2户，全部南北通透，得房率高达80%，93平3房2厅1卫，两房朝南一房朝北，厅南北通透厨卫全明房间带飘窗！没有丝毫浪费空间，厨卫全明！且全部精装修带地暖、中 央空调、新风系统！拎包即可入住！
【交通出行】 小区东临莘庄,西靠松江大学城,近地铁22号线春申路站,小区们门口班车125 可直达徐家汇和地铁1号线,数条公交线路汇集交通便利,高架:沪闵高架、嘉闵高架;15 莘庄站、22春申站
【周边配套】 丰富小区东侧一路之隔9年公立规划，占地5万方的规模，包括，和初中配套 22号线春申站900米周 边10生活圈:亚繁、龙之梦、百盛?嘉闵高架15直达虹桥沪闵20徐家汇购物",https://image1.ljcdn.com/lease-image/house/98cd0104-a540-434d-8f1b-fbf6db8b6801.jpg.780x439.jpg
